
instance time incumbent bks
chr22a 8.12 6754.0 6156
chr22b 8.13 6742.0 6194
chr25a 9.29 5168.0 3796
els19 7.00 19298846.0 17212548
esc128 221.29 64.0 64
esc16a 5.29 70.0 68
esc16b 5.30 292.0 292
esc16c 5.31 160.0 160
esc16d 5.28 16.0 16
esc16e 5.27 28.0 28
esc16f 5.26 0.0 0
esc16g 5.30 26.0 26
esc16h 5.31 996.0 996
esc16i 5.29 14.0 14
esc16j 5.28 8.0 8
esc32e 12.75 2.0 2
esc32g 12.76 6.0 6
had12 4.52 1666.0 1652
had14 4.74 2732.0 2724
had16 5.31 3724.0 3720
had18 6.57 5418.0 5358
had20 7.41 7014.0 6922
kra30a 11.50 90890.0 88900
kra30b 11.52 92790.0 91420
kra32 12.79 91750.0 88900
lipa20a 7.42 3715.0 3683
lipa20b 7.39 27076.0 27076
lipa30a 11.50 13408.0 13178
lipa30b 11.49 151426.0 151426
lipa40a 21.59 32060.0 31538
lipa40b 21.63 476581.0 476581
lipa50a 30.06 63081.0 62093
lipa50b 30.08 1210244.0 1210244
lipa60a 40.47 108728.0 107218
lipa60b 40.44 2520135.0 2520135
lipa70a 67.74 171907.0 169755
lipa70b 67.71 4603200.0 4603200
lipa80a 83.07 256283.0 253195
lipa80b 83.07 7763962.0 7763962
lipa90a 106.66 364710.0 360630
lipa90b 106.62 12490441.0 12490441
nug12 4.52 582.0 578
nug14 4.73 1014.0 1014
nug15 5.15 1150.0 1150
nug16a 5.30 1610.0 1610
nug16b 5.29 1240.0 1240
nug17 6.46 1736.0 1732
nug18 6.57 1938.0 1930
nug20 7.42 2584.0 2570
nug21 7.73 2460.0 2438
nug22 8.09 3660.0 3596
nug24 8.74 3488.0 3488
nug25 9.26 3758.0 3744
nug27 10.20 5294.0 5234
nug28 10.49 5206.0 5166
nug30 11.47 6182.0 6124
rou12 4.51 235528.0 235528
rou15 5.12 354210.0 354210
rou20 7.39 730712.0 725522
scr12 4.52 31410.0 31410
scr15 5.15 51140.0 51140
scr20 7.46 111136.0 110030
sko100a 136.64 155690.0 152002
sko100b 144.61 157400.0 153890
sko100c 150.46 151116.0 147862
sko100d 136.90 152868.0 149576
sko100e 136.97 152974.0 149150
sko100f 137.07 152406.0 149036
sko42 23.24 16062.0 15812
sko49 30.47 23700.0 23386
sko56 36.25 35336.0 34458
sko64 45.12 49514.0 48498
sko72 70.27 67550.0 66256
sko81 89.39 93204.0 90998
sko90 110.92 118274.0 115534
ste36b 19.54 17804.0 15852
ste36c 19.22 8736236.0 8239110
tai100a 156.89 21633436.0 21052466
tai100b 178.23 1252777990.0 1185996137
tai12a 25.75 224416.0 224416
tai12b 25.69 39925019.0 39464925
tai150b 424.25 514623769.0 498896643
tai15a 5.72 389718.0 388214
tai15b 13.42 51958141.0 51765268
tai17a 28.78 493662.0 491812
tai20a 30.87 709642.0 703482
tai20b 29.46 124252260.0 122455319
tai256c 1312.96 44927280.0 44759294
tai25a 32.11 1183690.0 1167256
tai25b 32.85 350958367.0 344355646
tai30a 23.60 1853648.0 1818146
tai30b 35.53 641546392.0 637117113
tai35a 39.71 2479638.0 2422002
tai35b 39.93 289483566.0 283315445
tai40a 43.53 3211010.0 3139370
tai40b 43.79 649308121.0 637250948
tai50a 60.39 5082662.0 4938796
tai50b 56.64 465128346.0 458821517
tai60a 53.79 7425700.0 7205962
tai60b 74.35 621994932.0 608215054
tai64c 80.11 1855928.0 1855928
tai80a 123.69 13918738.0 13499184
tai80b 124.22 860761803.0 818415043
tho150 435.46 8380038.0 8133398
tho30 37.10 153284.0 149936
tho40 44.03 248484.0 240516
wil100 169.61 277530.0 273038
wil50 61.53 49518.0 48816
==========Running script at 2025-12-20 17:17:17, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 7.83 5500913.0 5426670 0.0137
bur26b 7.85 3865027.0 3817852 0.0124
bur26c 7.82 5517774.0 5426795 0.0168
bur26d 7.84 3882144.0 3821225 0.0159
bur26e 7.86 5479981.0 5386879 0.0173
bur26f 7.85 3855261.0 3782044 0.0194
bur26g 7.84 10262330.0 10117172 0.0143
bur26h 7.82 7196607.0 7098658 0.0138
chr12a 2.96 9552.0 9552 0.0000
chr12b 2.99 9742.0 9742 0.0000
chr12c 2.98 11156.0 11156 0.0000
chr15a 3.44 9936.0 9896 0.0040
chr15b 3.43 7990.0 7990 0.0000
chr15c 3.42 9940.0 9504 0.0459
chr18a 4.91 11142.0 11098 0.0040
chr18b 4.91 1534.0 1534 0.0000
chr20a 5.55 2224.0 2192 0.0146
chr20b 5.55 2418.0 2298 0.0522
chr20c 5.55 15880.0 14142 0.1229
chr22a 6.06 6702.0 6156 0.0887
chr22b 6.07 6690.0 6194 0.0801
chr25a 7.54 4744.0 3796 0.2497
els19 5.32 19298846.0 17212548 0.1212
esc128 156.14 64.0 64 0.0000
esc16a 3.77 72.0 68 0.0588
esc16b 3.69 292.0 292 0.0000
esc16c 3.70 160.0 160 0.0000
esc16d 3.69 16.0 16 0.0000
esc16e 3.68 28.0 28 0.0000
esc16g 3.69 26.0 26 0.0000
esc16h 3.68 996.0 996 0.0000
esc16i 3.72 14.0 14 0.0000
esc16j 3.69 8.0 8 0.0000
esc32e 10.95 2.0 2 0.0000
esc32g 10.89 6.0 6 0.0000
had12 2.97 1676.0 1652 0.0145
had14 3.30 2748.0 2724 0.0088
had16 3.69 3724.0 3720 0.0011
had18 4.90 5418.0 5358 0.0112
had20 5.55 6984.0 6922 0.0090
kra30a 9.58 90890.0 88900 0.0224
kra30b 9.51 92490.0 91420 0.0117
kra32 10.88 90950.0 88900 0.0231
lipa20a 5.56 3757.0 3683 0.0201
lipa20b 5.57 27076.0 27076 0.0000
lipa30a 9.51 13441.0 13178 0.0200
lipa30b 9.52 151426.0 151426 0.0000
lipa40a 21.99 32093.0 31538 0.0176
lipa40b 21.94 476581.0 476581 0.0000
lipa50a 36.10 63072.0 62093 0.0158
lipa50b 36.01 1210244.0 1210244 0.0000
lipa60a 49.43 108708.0 107218 0.0139
lipa60b 49.48 2520135.0 2520135 0.0000
lipa70a 85.66 171904.0 169755 0.0127
lipa70b 43.10 4603200.0 4603200 0.0000
lipa80a 112.25 256289.0 253195 0.0122
lipa80b 56.41 7763962.0 7763962 0.0000
lipa90a 146.94 364655.0 360630 0.0112
lipa90b 73.75 12490441.0 12490441 0.0000
nug12 2.98 578.0 578 0.0000
nug14 3.24 1014.0 1014 0.0000
nug15 3.42 1150.0 1150 0.0000
nug16a 3.70 1610.0 1610 0.0000
nug16b 3.69 1240.0 1240 0.0000
nug17 4.76 1736.0 1732 0.0023
nug18 4.91 1936.0 1930 0.0031
nug20 5.54 2584.0 2570 0.0054
nug21 5.91 2460.0 2438 0.0090
nug22 6.07 3686.0 3596 0.0250
nug24 7.11 3488.0 3488 0.0000
nug25 7.57 3758.0 3744 0.0037
nug27 8.33 5294.0 5234 0.0115
nug28 8.63 5212.0 5166 0.0089
nug30 9.51 6164.0 6124 0.0065
rou12 2.97 235528.0 235528 0.0000
rou15 3.42 354210.0 354210 0.0000
rou20 5.55 728512.0 725522 0.0041
scr12 2.97 31410.0 31410 0.0000
scr15 3.41 51140.0 51140 0.0000
scr20 5.54 111136.0 110030 0.0101
sko100a 97.78 155556.0 152002 0.0234
sko100b 97.77 157376.0 153890 0.0227
sko100c 97.80 151256.0 147862 0.0230
sko100d 97.81 152868.0 149576 0.0220
sko100e 97.94 152386.0 149150 0.0217
sko100f 98.05 152372.0 149036 0.0224
sko42 23.73 16062.0 15812 0.0158
sko49 34.73 23700.0 23386 0.0134
sko56 41.99 35254.0 34458 0.0231
sko64 54.96 49522.0 48498 0.0211
sko72 91.36 67550.0 66256 0.0195
sko81 120.01 92774.0 90998 0.0195
sko90 73.66 118274.0 115534 0.0237
ste36b 19.17 17340.0 15852 0.0939
ste36c 19.08 8738590.0 8239110 0.0606
tai100a 97.95 21712350.0 21052466 0.0313
tai100b 97.89 1252777990.0 1185996137 0.0563
tai12a 2.97 224416.0 224416 0.0000
tai12b 2.97 39925019.0 39464925 0.0117
tai150b 255.14 513946892.0 498896643 0.0302
tai15a 3.43 389718.0 388214 0.0039
tai15b 3.42 51958141.0 51765268 0.0037
tai17a 4.70 491812.0 491812 0.0000
tai20a 5.56 709080.0 703482 0.0080
tai20b 5.54 123715743.0 122455319 0.0103
tai256c 912.66 44975848.0 44759294 0.0048
tai25a 7.57 1172026.0 1167256 0.0041
tai25b 7.57 350958367.0 344355646 0.0192
tai30a 9.52 1853648.0 1818146 0.0195
tai30b 9.53 641546392.0 637117113 0.0070
tai35a 18.59 2474764.0 2422002 0.0218
tai35b 18.50 289483566.0 283315445 0.0218
tai40a 21.94 3211010.0 3139370 0.0228
tai40b 21.93 649220143.0 637250948 0.0188
tai50a 35.99 5082662.0 4938796 0.0291
tai50b 36.01 465128346.0 458821517 0.0137
tai60a 49.43 7425700.0 7205962 0.0305
tai60b 49.45 621994932.0 608215054 0.0227
tai64c 54.90 1855928.0 1855928 0.0000
tai80a 56.36 13944416.0 13499184 0.0330
tai80b 112.22 860761803.0 818415043 0.0517
tho150 255.06 8380038.0 8133398 0.0303
tho30 9.52 153278.0 149936 0.0223
tho40 21.93 248484.0 240516 0.0331
wil100 97.96 277562.0 273038 0.0166
wil50 36.00 49474.0 48816 0.0135
